good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Je ne mange pas.;Je mange pas.;ne;—;ne;negation
Tu ne viens jamais ici.;Tu viens jamais ici.;ne;—;ne;negation
Il ne travaille plus.;Il travaille plus.;ne;—;ne;negation
Nous ne comprenons pas.;Nous comprenons pas.;ne;—;ne;negation
Vous ne regardez jamais la télé.;Vous regardez jamais la télé.;ne;—;ne;negation
Elle ne fume plus.;Elle fume plus.;ne;—;ne;negation
Je ne sais pas.;Je sais pas.;ne;—;ne;negation
Tu ne comprends jamais rien.;Tu comprends jamais rien.;ne;—;ne;negation
Ils ne viennent plus.;Ils viennent plus.;ne;—;ne;negation
Nous ne mangeons jamais ensemble.;Nous mangeons jamais ensemble.;ne;—;ne;negation
