good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Je ne mange pas.;Je mange pas.;ne;—;ne;negation
Tu ne viens jamais ici.;Tu viens jamais ici.;ne;—;ne;negation
Il ne travaille plus.;Il travaille plus.;ne;—;ne;negation
Nous ne comprenons pas.;Nous comprenons pas.;ne;—;ne;negation
Vous ne regardez jamais la télé.;Vous regardez jamais la télé.;ne;—;ne;negation
Elle ne fume plus.;Elle fume plus.;ne;—;ne;negation
Je ne sais pas.;Je sais pas.;ne;—;ne;negation
Tu ne comprends jamais rien.;Tu comprends jamais rien.;ne;—;ne;negation
Ils ne viennent plus.;Ils viennent plus.;ne;—;ne;negation
Nous ne mangeons jamais ensemble.;Nous mangeons jamais ensemble.;ne;—;ne;negation
je ne mange pas.;je mange pas.;ne;—;ne;negation
je ne parle pas.;je parle pas.;ne;—;ne;negation
je ne viens pas.;je viens pas.;ne;—;ne;negation
je ne vois pas.;je vois pas.;ne;—;ne;negation
je ne finis pas.;je finis pas.;ne;—;ne;negation
je ne fais pas.;je fais pas.;ne;—;ne;negation
je ne prends pas.;je prends pas.;ne;—;ne;negation
je ne lis pas.;je lis pas.;ne;—;ne;negation
je ne bois pas.;je bois pas.;ne;—;ne;negation
je ne travaille pas.;je travaille pas.;ne;—;ne;negation
tu ne manges pas.;tu manges pas.;ne;—;ne;negation
tu ne parles pas.;tu parles pas.;ne;—;ne;negation
tu ne viens pas.;tu viens pas.;ne;—;ne;negation
tu ne vois pas.;tu vois pas.;ne;—;ne;negation
tu ne finis pas.;tu finis pas.;ne;—;ne;negation
tu ne fais pas.;tu fais pas.;ne;—;ne;negation
tu ne prends pas.;tu prends pas.;ne;—;ne;negation
tu ne lis pas.;tu lis pas.;ne;—;ne;negation
tu ne bois pas.;tu bois pas.;ne;—;ne;negation
tu ne travailles pas.;tu travailles pas.;ne;—;ne;negation
il ne mange pas.;il mange pas.;ne;—;ne;negation
il ne parle pas.;il parle pas.;ne;—;ne;negation
il ne vient pas.;il vient pas.;ne;—;ne;negation
il ne voit pas.;il voit pas.;ne;—;ne;negation
il ne finit pas.;il finit pas.;ne;—;ne;negation
il ne fait pas.;il fait pas.;ne;—;ne;negation
il ne prend pas.;il prend pas.;ne;—;ne;negation
il ne lit pas.;il lit pas.;ne;—;ne;negation
il ne boit pas.;il boit pas.;ne;—;ne;negation
il ne travaille pas.;il travaille pas.;ne;—;ne;negation
elle ne mange pas.;elle mange pas.;ne;—;ne;negation
elle ne parle pas.;elle parle pas.;ne;—;ne;negation
elle ne vient pas.;elle vient pas.;ne;—;ne;negation
elle ne voit pas.;elle voit pas.;ne;—;ne;negation
elle ne finit pas.;elle finit pas.;ne;—;ne;negation
elle ne fait pas.;elle fait pas.;ne;—;ne;negation
elle ne prend pas.;elle prend pas.;ne;—;ne;negation
elle ne lit pas.;elle lit pas.;ne;—;ne;negation
elle ne boit pas.;elle boit pas.;ne;—;ne;negation
elle ne travaille pas.;elle travaille pas.;ne;—;ne;negation
nous ne mangeons pas.;nous mangeons pas.;ne;—;ne;negation
nous ne parlons pas.;nous parlons pas.;ne;—;ne;negation
nous ne venons pas.;nous venons pas.;ne;—;ne;negation
nous ne voyons pas.;nous voyons pas.;ne;—;ne;negation
nous ne finissons pas.;nous finissons pas.;ne;—;ne;negation
nous ne faisons pas.;nous faisons pas.;ne;—;ne;negation
nous ne prenons pas.;nous prenons pas.;ne;—;ne;negation
nous ne lisons pas.;nous lisons pas.;ne;—;ne;negation
nous ne buvons pas.;nous buvons pas.;ne;—;ne;negation
nous ne travaillons pas.;nous travaillons pas.;ne;—;ne;negation
vous ne mangez pas.;vous mangez pas.;ne;—;ne;negation
vous ne parlez pas.;vous parlez pas.;ne;—;ne;negation
vous ne venez pas.;vous venez pas.;ne;—;ne;negation
vous ne voyez pas.;vous voyez pas.;ne;—;ne;negation
vous ne finissez pas.;vous finissez pas.;ne;—;ne;negation
vous ne faites pas.;vous faites pas.;ne;—;ne;negation
vous ne prenez pas.;vous prenez pas.;ne;—;ne;negation
vous ne lisez pas.;vous lisez pas.;ne;—;ne;negation
vous ne buvez pas.;vous buvez pas.;ne;—;ne;negation
vous ne travaillez pas.;vous travaillez pas.;ne;—;ne;negation
ils ne mangent pas.;ils mangent pas.;ne;—;ne;negation
ils ne parlent pas.;ils parlent pas.;ne;—;ne;negation
ils ne viennent pas.;ils viennent pas.;ne;—;ne;negation
ils ne voient pas.;ils voient pas.;ne;—;ne;negation
ils ne finissent pas.;ils finissent pas.;ne;—;ne;negation
ils ne font pas.;ils font pas.;ne;—;ne;negation
ils ne prennent pas.;ils prennent pas.;ne;—;ne;negation
ils ne lisent pas.;ils lisent pas.;ne;—;ne;negation
ils ne boivent pas.;ils boivent pas.;ne;—;ne;negation
ils ne travaillent pas.;ils travaillent pas.;ne;—;ne;negation
elles ne mangent pas.;elles mangent pas.;ne;—;ne;negation
elles ne parlent pas.;elles parlent pas.;ne;—;ne;negation
elles ne viennent pas.;elles viennent pas.;ne;—;ne;negation
elles ne voient pas.;elles voient pas.;ne;—;ne;negation
elles ne finissent pas.;elles finissent pas.;ne;—;ne;negation
elles ne font pas.;elles font pas.;ne;—;ne;negation
elles ne prennent pas.;elles prennent pas.;ne;—;ne;negation
elles ne lisent pas.;elles lisent pas.;ne;—;ne;negation
elles ne boivent pas.;elles boivent pas.;ne;—;ne;negation
elles ne travaillent pas.;elles travaillent pas.;ne;—;ne;negation
je ne mange jamais.;je mange jamais.;ne;—;ne;negation
je ne parle jamais.;je parle jamais.;ne;—;ne;negation
je ne viens jamais.;je viens jamais.;ne;—;ne;negation
je ne vois jamais.;je vois jamais.;ne;—;ne;negation
je ne finis jamais.;je finis jamais.;ne;—;ne;negation
je ne fais jamais.;je fais jamais.;ne;—;ne;negation
je ne prends jamais.;je prends jamais.;ne;—;ne;negation
je ne lis jamais.;je lis jamais.;ne;—;ne;negation
je ne bois jamais.;je bois jamais.;ne;—;ne;negation
je ne travaille jamais.;je travaille jamais.;ne;—;ne;negation
tu ne manges jamais.;tu manges jamais.;ne;—;ne;negation
tu ne parles jamais.;tu parles jamais.;ne;—;ne;negation
tu ne viens jamais.;tu viens jamais.;ne;—;ne;negation
tu ne vois jamais.;tu vois jamais.;ne;—;ne;negation
tu ne finis jamais.;tu finis jamais.;ne;—;ne;negation
tu ne fais jamais.;tu fais jamais.;ne;—;ne;negation
tu ne prends jamais.;tu prends jamais.;ne;—;ne;negation
tu ne lis jamais.;tu lis jamais.;ne;—;ne;negation
tu ne bois jamais.;tu bois jamais.;ne;—;ne;negation
tu ne travailles jamais.;tu travailles jamais.;ne;—;ne;negation
il ne mange jamais.;il mange jamais.;ne;—;ne;negation
il ne parle jamais.;il parle jamais.;ne;—;ne;negation
il ne vient jamais.;il vient jamais.;ne;—;ne;negation
il ne voit jamais.;il voit jamais.;ne;—;ne;negation
il ne finit jamais.;il finit jamais.;ne;—;ne;negation
il ne fait jamais.;il fait jamais.;ne;—;ne;negation
il ne prend jamais.;il prend jamais.;ne;—;ne;negation
il ne lit jamais.;il lit jamais.;ne;—;ne;negation
il ne boit jamais.;il boit jamais.;ne;—;ne;negation
il ne travaille jamais.;il travaille jamais.;ne;—;ne;negation
elle ne mange jamais.;elle mange jamais.;ne;—;ne;negation
elle ne parle jamais.;elle parle jamais.;ne;—;ne;negation
elle ne vient jamais.;elle vient jamais.;ne;—;ne;negation
elle ne voit jamais.;elle voit jamais.;ne;—;ne;negation
elle ne finit jamais.;elle finit jamais.;ne;—;ne;negation
elle ne fait jamais.;elle fait jamais.;ne;—;ne;negation
elle ne prend jamais.;elle prend jamais.;ne;—;ne;negation
elle ne lit jamais.;elle lit jamais.;ne;—;ne;negation
elle ne boit jamais.;elle boit jamais.;ne;—;ne;negation
elle ne travaille jamais.;elle travaille jamais.;ne;—;ne;negation
nous ne mangeons jamais.;nous mangeons jamais.;ne;—;ne;negation
nous ne parlons jamais.;nous parlons jamais.;ne;—;ne;negation
nous ne venons jamais.;nous venons jamais.;ne;—;ne;negation
nous ne voyons jamais.;nous voyons jamais.;ne;—;ne;negation
nous ne finissons jamais.;nous finissons jamais.;ne;—;ne;negation
nous ne faisons jamais.;nous faisons jamais.;ne;—;ne;negation
nous ne prenons jamais.;nous prenons jamais.;ne;—;ne;negation
nous ne lisons jamais.;nous lisons jamais.;ne;—;ne;negation
nous ne buvons jamais.;nous buvons jamais.;ne;—;ne;negation
nous ne travaillons jamais.;nous travaillons jamais.;ne;—;ne;negation
vous ne mangez jamais.;vous mangez jamais.;ne;—;ne;negation
vous ne parlez jamais.;vous parlez jamais.;ne;—;ne;negation
vous ne venez jamais.;vous venez jamais.;ne;—;ne;negation
vous ne voyez jamais.;vous voyez jamais.;ne;—;ne;negation
vous ne finissez jamais.;vous finissez jamais.;ne;—;ne;negation
vous ne faites jamais.;vous faites jamais.;ne;—;ne;negation
vous ne prenez jamais.;vous prenez jamais.;ne;—;ne;negation
vous ne lisez jamais.;vous lisez jamais.;ne;—;ne;negation
vous ne buvez jamais.;vous buvez jamais.;ne;—;ne;negation
vous ne travaillez jamais.;vous travaillez jamais.;ne;—;ne;negation
ils ne mangent jamais.;ils mangent jamais.;ne;—;ne;negation
ils ne parlent jamais.;ils parlent jamais.;ne;—;ne;negation
ils ne viennent jamais.;ils viennent jamais.;ne;—;ne;negation
ils ne voient jamais.;ils voient jamais.;ne;—;ne;negation
ils ne finissent jamais.;ils finissent jamais.;ne;—;ne;negation
ils ne font jamais.;ils font jamais.;ne;—;ne;negation
ils ne prennent jamais.;ils prennent jamais.;ne;—;ne;negation
ils ne lisent jamais.;ils lisent jamais.;ne;—;ne;negation
ils ne boivent jamais.;ils boivent jamais.;ne;—;ne;negation
ils ne travaillent jamais.;ils travaillent jamais.;ne;—;ne;negation
elles ne mangent jamais.;elles mangent jamais.;ne;—;ne;negation
elles ne parlent jamais.;elles parlent jamais.;ne;—;ne;negation
elles ne viennent jamais.;elles viennent jamais.;ne;—;ne;negation
elles ne voient jamais.;elles voient jamais.;ne;—;ne;negation
elles ne finissent jamais.;elles finissent jamais.;ne;—;ne;negation
elles ne font jamais.;elles font jamais.;ne;—;ne;negation
elles ne prennent jamais.;elles prennent jamais.;ne;—;ne;negation
elles ne lisent jamais.;elles lisent jamais.;ne;—;ne;negation
elles ne boivent jamais.;elles boivent jamais.;ne;—;ne;negation
elles ne travaillent jamais.;elles travaillent jamais.;ne;—;ne;negation
je ne mange plus.;je mange plus.;ne;—;ne;negation
je ne parle plus.;je parle plus.;ne;—;ne;negation
je ne viens plus.;je viens plus.;ne;—;ne;negation
je ne vois plus.;je vois plus.;ne;—;ne;negation
je ne finis plus.;je finis plus.;ne;—;ne;negation
je ne fais plus.;je fais plus.;ne;—;ne;negation
je ne prends plus.;je prends plus.;ne;—;ne;negation
je ne lis plus.;je lis plus.;ne;—;ne;negation
je ne bois plus.;je bois plus.;ne;—;ne;negation
je ne travaille plus.;je travaille plus.;ne;—;ne;negation
tu ne manges plus.;tu manges plus.;ne;—;ne;negation
tu ne parles plus.;tu parles plus.;ne;—;ne;negation
tu ne viens plus.;tu viens plus.;ne;—;ne;negation
tu ne vois plus.;tu vois plus.;ne;—;ne;negation
tu ne finis plus.;tu finis plus.;ne;—;ne;negation
tu ne fais plus.;tu fais plus.;ne;—;ne;negation
tu ne prends plus.;tu prends plus.;ne;—;ne;negation
tu ne lis plus.;tu lis plus.;ne;—;ne;negation
tu ne bois plus.;tu bois plus.;ne;—;ne;negation
tu ne travailles plus.;tu travailles plus.;ne;—;ne;negation
il ne mange plus.;il mange plus.;ne;—;ne;negation
il ne parle plus.;il parle plus.;ne;—;ne;negation
il ne vient plus.;il vient plus.;ne;—;ne;negation
il ne voit plus.;il voit plus.;ne;—;ne;negation
il ne finit plus.;il finit plus.;ne;—;ne;negation
il ne fait plus.;il fait plus.;ne;—;ne;negation
il ne prend plus.;il prend plus.;ne;—;ne;negation
il ne lit plus.;il lit plus.;ne;—;ne;negation
il ne boit plus.;il boit plus.;ne;—;ne;negation
il ne travaille plus.;il travaille plus.;ne;—;ne;negation
elle ne mange plus.;elle mange plus.;ne;—;ne;negation
elle ne parle plus.;elle parle plus.;ne;—;ne;negation
elle ne vient plus.;elle vient plus.;ne;—;ne;negation
elle ne voit plus.;elle voit plus.;ne;—;ne;negation
elle ne finit plus.;elle finit plus.;ne;—;ne;negation
elle ne fait plus.;elle fait plus.;ne;—;ne;negation
elle ne prend plus.;elle prend plus.;ne;—;ne;negation
elle ne lit plus.;elle lit plus.;ne;—;ne;negation
elle ne boit plus.;elle boit plus.;ne;—;ne;negation
elle ne travaille plus.;elle travaille plus.;ne;—;ne;negation
nous ne mangeons plus.;nous mangeons plus.;ne;—;ne;negation
nous ne parlons plus.;nous parlons plus.;ne;—;ne;negation
nous ne venons plus.;nous venons plus.;ne;—;ne;negation
nous ne voyons plus.;nous voyons plus.;ne;—;ne;negation
nous ne finissons plus.;nous finissons plus.;ne;—;ne;negation
nous ne faisons plus.;nous faisons plus.;ne;—;ne;negation
nous ne prenons plus.;nous prenons plus.;ne;—;ne;negation
nous ne lisons plus.;nous lisons plus.;ne;—;ne;negation
nous ne buvons plus.;nous buvons plus.;ne;—;ne;negation
nous ne travaillons plus.;nous travaillons plus.;ne;—;ne;negation
vous ne mangez plus.;vous mangez plus.;ne;—;ne;negation
vous ne parlez plus.;vous parlez plus.;ne;—;ne;negation
vous ne venez plus.;vous venez plus.;ne;—;ne;negation
vous ne voyez plus.;vous voyez plus.;ne;—;ne;negation
vous ne finissez plus.;vous finissez plus.;ne;—;ne;negation
vous ne faites plus.;vous faites plus.;ne;—;ne;negation
vous ne prenez plus.;vous prenez plus.;ne;—;ne;negation
vous ne lisez plus.;vous lisez plus.;ne;—;ne;negation
vous ne buvez plus.;vous buvez plus.;ne;—;ne;negation
vous ne travaillez plus.;vous travaillez plus.;ne;—;ne;negation
ils ne mangent plus.;ils mangent plus.;ne;—;ne;negation
ils ne parlent plus.;ils parlent plus.;ne;—;ne;negation
ils ne viennent plus.;ils viennent plus.;ne;—;ne;negation
ils ne voient plus.;ils voient plus.;ne;—;ne;negation
ils ne finissent plus.;ils finissent plus.;ne;—;ne;negation
ils ne font plus.;ils font plus.;ne;—;ne;negation
ils ne prennent plus.;ils prennent plus.;ne;—;ne;negation
ils ne lisent plus.;ils lisent plus.;ne;—;ne;negation
ils ne boivent plus.;ils boivent plus.;ne;—;ne;negation
ils ne travaillent plus.;ils travaillent plus.;ne;—;ne;negation
elles ne mangent plus.;elles mangent plus.;ne;—;ne;negation
elles ne parlent plus.;elles parlent plus.;ne;—;ne;negation
elles ne viennent plus.;elles viennent plus.;ne;—;ne;negation
elles ne voient plus.;elles voient plus.;ne;—;ne;negation
elles ne finissent plus.;elles finissent plus.;ne;—;ne;negation
elles ne font plus.;elles font plus.;ne;—;ne;negation
elles ne prennent plus.;elles prennent plus.;ne;—;ne;negation
elles ne lisent plus.;elles lisent plus.;ne;—;ne;negation
elles ne boivent plus.;elles boivent plus.;ne;—;ne;negation
elles ne travaillent plus.;elles travaillent plus.;ne;—;ne;negation
Aujourd'hui je ne mange pas.;Aujourd'hui je mange pas.;ne;—;ne;negation
Aujourd'hui je ne parle pas.;Aujourd'hui je parle pas.;ne;—;ne;negation
Aujourd'hui je ne viens pas.;Aujourd'hui je viens pas.;ne;—;ne;negation
Aujourd'hui je ne vois pas.;Aujourd'hui je vois pas.;ne;—;ne;negation
Aujourd'hui je ne finis pas.;Aujourd'hui je finis pas.;ne;—;ne;negation
Aujourd'hui je ne fais pas.;Aujourd'hui je fais pas.;ne;—;ne;negation
Aujourd'hui je ne prends pas.;Aujourd'hui je prends pas.;ne;—;ne;negation
Aujourd'hui je ne lis pas.;Aujourd'hui je lis pas.;ne;—;ne;negation
Aujourd'hui je ne bois pas.;Aujourd'hui je bois pas.;ne;—;ne;negation
Aujourd'hui je ne travaille pas.;Aujourd'hui je travaille pas.;ne;—;ne;negation
Aujourd'hui tu ne manges pas.;Aujourd'hui tu manges pas.;ne;—;ne;negation
Aujourd'hui tu ne parles pas.;Aujourd'hui tu parles pas.;ne;—;ne;negation
Aujourd'hui tu ne viens pas.;Aujourd'hui tu viens pas.;ne;—;ne;negation
Aujourd'hui tu ne vois pas.;Aujourd'hui tu vois pas.;ne;—;ne;negation
Aujourd'hui tu ne finis pas.;Aujourd'hui tu finis pas.;ne;—;ne;negation
Aujourd'hui tu ne fais pas.;Aujourd'hui tu fais pas.;ne;—;ne;negation
Aujourd'hui tu ne prends pas.;Aujourd'hui tu prends pas.;ne;—;ne;negation
Aujourd'hui tu ne lis pas.;Aujourd'hui tu lis pas.;ne;—;ne;negation
Aujourd'hui tu ne bois pas.;Aujourd'hui tu bois pas.;ne;—;ne;negation
Aujourd'hui tu ne travailles pas.;Aujourd'hui tu travailles pas.;ne;—;ne;negation
Aujourd'hui il ne mange pas.;Aujourd'hui il mange pas.;ne;—;ne;negation
Aujourd'hui il ne parle pas.;Aujourd'hui il parle pas.;ne;—;ne;negation
Aujourd'hui il ne vient pas.;Aujourd'hui il vient pas.;ne;—;ne;negation
Aujourd'hui il ne voit pas.;Aujourd'hui il voit pas.;ne;—;ne;negation
Aujourd'hui il ne finit pas.;Aujourd'hui il finit pas.;ne;—;ne;negation
Aujourd'hui il ne fait pas.;Aujourd'hui il fait pas.;ne;—;ne;negation
Aujourd'hui il ne prend pas.;Aujourd'hui il prend pas.;ne;—;ne;negation
Aujourd'hui il ne lit pas.;Aujourd'hui il lit pas.;ne;—;ne;negation
Aujourd'hui il ne boit pas.;Aujourd'hui il boit pas.;ne;—;ne;negation
Aujourd'hui il ne travaille pas.;Aujourd'hui il travaille pas.;ne;—;ne;negation
Aujourd'hui elle ne mange pas.;Aujourd'hui elle mange pas.;ne;—;ne;negation
Aujourd'hui elle ne parle pas.;Aujourd'hui elle parle pas.;ne;—;ne;negation
Aujourd'hui elle ne vient pas.;Aujourd'hui elle vient pas.;ne;—;ne;negation
Aujourd'hui elle ne voit pas.;Aujourd'hui elle voit pas.;ne;—;ne;negation
Aujourd'hui elle ne finit pas.;Aujourd'hui elle finit pas.;ne;—;ne;negation
Aujourd'hui elle ne fait pas.;Aujourd'hui elle fait pas.;ne;—;ne;negation
Aujourd'hui elle ne prend pas.;Aujourd'hui elle prend pas.;ne;—;ne;negation
Aujourd'hui elle ne lit pas.;Aujourd'hui elle lit pas.;ne;—;ne;negation
Aujourd'hui elle ne boit pas.;Aujourd'hui elle boit pas.;ne;—;ne;negation
Aujourd'hui elle ne travaille pas.;Aujourd'hui elle travaille pas.;ne;—;ne;negation
Aujourd'hui nous ne mangeons pas.;Aujourd'hui nous mangeons pas.;ne;—;ne;negation
Aujourd'hui nous ne parlons pas.;Aujourd'hui nous parlons pas.;ne;—;ne;negation
Aujourd'hui nous ne venons pas.;Aujourd'hui nous venons pas.;ne;—;ne;negation
Aujourd'hui nous ne voyons pas.;Aujourd'hui nous voyons pas.;ne;—;ne;negation
Aujourd'hui nous ne finissons pas.;Aujourd'hui nous finissons pas.;ne;—;ne;negation
Aujourd'hui nous ne faisons pas.;Aujourd'hui nous faisons pas.;ne;—;ne;negation
Aujourd'hui nous ne prenons pas.;Aujourd'hui nous prenons pas.;ne;—;ne;negation
Aujourd'hui nous ne lisons pas.;Aujourd'hui nous lisons pas.;ne;—;ne;negation
Aujourd'hui nous ne buvons pas.;Aujourd'hui nous buvons pas.;ne;—;ne;negation
Aujourd'hui nous ne travaillons pas.;Aujourd'hui nous travaillons pas.;ne;—;ne;negation
Aujourd'hui vous ne mangez pas.;Aujourd'hui vous mangez pas.;ne;—;ne;negation
Aujourd'hui vous ne parlez pas.;Aujourd'hui vous parlez pas.;ne;—;ne;negation
Aujourd'hui vous ne venez pas.;Aujourd'hui vous venez pas.;ne;—;ne;negation
Aujourd'hui vous ne voyez pas.;Aujourd'hui vous voyez pas.;ne;—;ne;negation
Aujourd'hui vous ne finissez pas.;Aujourd'hui vous finissez pas.;ne;—;ne;negation
Aujourd'hui vous ne faites pas.;Aujourd'hui vous faites pas.;ne;—;ne;negation
Aujourd'hui vous ne prenez pas.;Aujourd'hui vous prenez pas.;ne;—;ne;negation
Aujourd'hui vous ne lisez pas.;Aujourd'hui vous lisez pas.;ne;—;ne;negation
Aujourd'hui vous ne buvez pas.;Aujourd'hui vous buvez pas.;ne;—;ne;negation
Aujourd'hui vous ne travaillez pas.;Aujourd'hui vous travaillez pas.;ne;—;ne;negation
Aujourd'hui ils ne mangent pas.;Aujourd'hui ils mangent pas.;ne;—;ne;negation
Aujourd'hui ils ne parlent pas.;Aujourd'hui ils parlent pas.;ne;—;ne;negation
Aujourd'hui ils ne viennent pas.;Aujourd'hui ils viennent pas.;ne;—;ne;negation
Aujourd'hui ils ne voient pas.;Aujourd'hui ils voient pas.;ne;—;ne;negation
Aujourd'hui ils ne finissent pas.;Aujourd'hui ils finissent pas.;ne;—;ne;negation
Aujourd'hui ils ne font pas.;Aujourd'hui ils font pas.;ne;—;ne;negation
Aujourd'hui ils ne prennent pas.;Aujourd'hui ils prennent pas.;ne;—;ne;negation
Aujourd'hui ils ne lisent pas.;Aujourd'hui ils lisent pas.;ne;—;ne;negation
Aujourd'hui ils ne boivent pas.;Aujourd'hui ils boivent pas.;ne;—;ne;negation
Aujourd'hui ils ne travaillent pas.;Aujourd'hui ils travaillent pas.;ne;—;ne;negation
Aujourd'hui elles ne mangent pas.;Aujourd'hui elles mangent pas.;ne;—;ne;negation
Aujourd'hui elles ne parlent pas.;Aujourd'hui elles parlent pas.;ne;—;ne;negation
Aujourd'hui elles ne viennent pas.;Aujourd'hui elles viennent pas.;ne;—;ne;negation
Aujourd'hui elles ne voient pas.;Aujourd'hui elles voient pas.;ne;—;ne;negation
Aujourd'hui elles ne finissent pas.;Aujourd'hui elles finissent pas.;ne;—;ne;negation
Aujourd'hui elles ne font pas.;Aujourd'hui elles font pas.;ne;—;ne;negation
Aujourd'hui elles ne prennent pas.;Aujourd'hui elles prennent pas.;ne;—;ne;negation
Aujourd'hui elles ne lisent pas.;Aujourd'hui elles lisent pas.;ne;—;ne;negation
