good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
La robe est dans le placard,Les robe est dans la placard,le,la,robe,determiner_noun_agreement
Les chiens est très mignons,Le chiens est très mignons,les,le,chiens,determiner_noun_agreement
La voiture est rouge,Le voiture est rouge,la,le,voiture,determiner_noun_agreement
Les enfants jouent dans le jardin,L’enfants jouent dans le jardin,les,l’,enfant,determiner_noun_agreement
Un homme parle à la foule,Une homme parle à la foule,un,une,homme,determiner_noun_agreement
Une fille chante bien,Un fille chante bien,une,un,fille,determiner_noun_agreement
Le chat est noir,La chat est noir,le,la,chat,determiner_noun_agreement
Les pommes sont vertes,La pommes sont vertes,les,la,pommes,determiner_noun_agreement
Cette robe est chère,Ce robe est chère,cette,ce,robe,determiner_noun_agreement
ce chat est sur la table,cette chat est sur la table,ce,cette,ce,determiner_noun_agreement
ce chat est sur la table,ces chat est sur la table,ce,ces,ce,determiner_noun_agreement
ce chat est sur la table,ces chat est sur la table,ce,ces,ce,determiner_noun_agreement
cette voiture est sur la table,ce voiture est sur la table,cette,ce,cette,determiner_noun_agreement
cette voiture est sur la table,ces voiture est sur la table,cette,ces,cette,determiner_noun_agreement
cette voiture est sur la table,ces voiture est sur la table,cette,ces,cette,determiner_noun_agreement
ces livres est sur la table,ce livres est sur la table,ces,ce,ces,determiner_noun_agreement
ces livres est sur la table,cette livres est sur la table,ces,cette,ces,determiner_noun_agreement
ces maisons est sur la table,ce maisons est sur la table,ces,ce,ces,determiner_noun_agreement
ces maisons est sur la table,cette maisons est sur la table,ces,cette,ces,determiner_noun_agreement
ce chien est sur la table,cette chien est sur la table,ce,cette,ce,determiner_noun_agreement
ce chien est sur la table,ces chien est sur la table,ce,ces,ce,determiner_noun_agreement
ce chien est sur la table,ces chien est sur la table,ce,ces,ce,determiner_noun_agreement
cette chaise est sur la table,ce chaise est sur la table,cette,ce,cette,determiner_noun_agreement
cette chaise est sur la table,ces chaise est sur la table,cette,ces,cette,determiner_noun_agreement
cette chaise est sur la table,ces chaise est sur la table,cette,ces,cette,determiner_noun_agreement
ces stylos est sur la table,ce stylos est sur la table,ces,ce,ces,determiner_noun_agreement
ces stylos est sur la table,cette stylos est sur la table,ces,cette,ces,determiner_noun_agreement
ces fenêtres est sur la table,ce fenêtres est sur la table,ces,ce,ces,determiner_noun_agreement
ces fenêtres est sur la table,cette fenêtres est sur la table,ces,cette,ces,determiner_noun_agreement
ce bureau est sur la table,cette bureau est sur la table,ce,cette,ce,determiner_noun_agreement
ce bureau est sur la table,ces bureau est sur la table,ce,ces,ce,determiner_noun_agreement
ce bureau est sur la table,ces bureau est sur la table,ce,ces,ce,determiner_noun_agreement
cette lampe est sur la table,ce lampe est sur la table,cette,ce,cette,determiner_noun_agreement
cette lampe est sur la table,ces lampe est sur la table,cette,ces,cette,determiner_noun_agreement
cette lampe est sur la table,ces lampe est sur la table,cette,ces,cette,determiner_noun_agreement
ces ordinateurs est sur la table,ce ordinateurs est sur la table,ces,ce,ces,determiner_noun_agreement
ces ordinateurs est sur la table,cette ordinateurs est sur la table,ces,cette,ces,determiner_noun_agreement
ces tables est sur la table,ce tables est sur la table,ces,ce,ces,determiner_noun_agreement
ces tables est sur la table,cette tables est sur la table,ces,cette,ces,determiner_noun_agreement
ce canapé est sur la table,cette canapé est sur la table,ce,cette,ce,determiner_noun_agreement
ce canapé est sur la table,ces canapé est sur la table,ce,ces,ce,determiner_noun_agreement
ce canapé est sur la table,ces canapé est sur la table,ce,ces,ce,determiner_noun_agreement
cette télévision est sur la table,ce télévision est sur la table,cette,ce,cette,determiner_noun_agreement
cette télévision est sur la table,ces télévision est sur la table,cette,ces,cette,determiner_noun_agreement
cette télévision est sur la table,ces télévision est sur la table,cette,ces,cette,determiner_noun_agreement
ces vélos est sur la table,ce vélos est sur la table,ces,ce,ces,determiner_noun_agreement
ces vélos est sur la table,cette vélos est sur la table,ces,cette,ces,determiner_noun_agreement
ces robes est sur la table,ce robes est sur la table,ces,ce,ces,determiner_noun_agreement
ces robes est sur la table,cette robes est sur la table,ces,cette,ces,determiner_noun_agreement
ce mur est sur la table,cette mur est sur la table,ce,cette,ce,determiner_noun_agreement
ce mur est sur la table,ces mur est sur la table,ce,ces,ce,determiner_noun_agreement
ce mur est sur la table,ces mur est sur la table,ce,ces,ce,determiner_noun_agreement
cette porte est sur la table,ce porte est sur la table,cette,ce,cette,determiner_noun_agreement
cette porte est sur la table,ces porte est sur la table,cette,ces,cette,determiner_noun_agreement
cette porte est sur la table,ces porte est sur la table,cette,ces,cette,determiner_noun_agreement
ces rideaux est sur la table,ce rideaux est sur la table,ces,ce,ces,determiner_noun_agreement
ces rideaux est sur la table,cette rideaux est sur la table,ces,cette,ces,determiner_noun_agreement
ces chaussures est sur la table,ce chaussures est sur la table,ces,ce,ces,determiner_noun_agreement
ces chaussures est sur la table,cette chaussures est sur la table,ces,cette,ces,determiner_noun_agreement
Je vois ce chat tous les jours,Je vois cette chat tous les jours,ce,cette,ce,determiner_noun_agreement
Je vois ce chat tous les jours,Je vois ces chat tous les jours,ce,ces,ce,determiner_noun_agreement
Je vois ce chat tous les jours,Je vois ces chat tous les jours,ce,ces,ce,determiner_noun_agreement
Je vois cette voiture tous les jours,Je vois ce voiture tous les jours,cette,ce,cette,determiner_noun_agreement
Je vois cette voiture tous les jours,Je vois ces voiture tous les jours,cette,ces,cette,determiner_noun_agreement
Je vois cette voiture tous les jours,Je vois ces voiture tous les jours,cette,ces,cette,determiner_noun_agreement
Je vois ces livres tous les jours,Je vois ce livres tous les jours,ces,ce,ces,determiner_noun_agreement
Je vois ces livres tous les jours,Je vois cette livres tous les jours,ces,cette,ces,determiner_noun_agreement
Je vois ces maisons tous les jours,Je vois ce maisons tous les jours,ces,ce,ces,determiner_noun_agreement
