good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Il faut que tu viennes.;Il faut que tu viens.;viennes;viens;viennes;subjunctive
Je souhaite qu’elle parte.;Je souhaite qu’elle part.;parte;part;parte;subjunctive
Il est important que nous finissions.;Il est important que nous finissons.;finissions;finissons;finissions;subjunctive
Bien qu’il soit tard.;Bien qu’il est tard.;soit;est;soit;subjunctive
Pour que vous réussissiez.;Pour que vous réussissez.;réussissiez;réussissez;réussissiez;subjunctive 
Avant que je parte.;Avant que je pars.;parte;pars;parte;subjunctive 
Quoiqu’elle fasse.;Quoiqu’elle fait.;fasse;fait;fasse;subjunctive 
Il faut que nous soyons prêts.;Il faut que nous sommes prêts.;soyons;sommes;soyons;subjunctive 
Pourvu qu’il ait raison.;Pourvu qu’il a raison.;ait;a;ait;subjunctive 
Bien que tu sois fatigué.;Bien que tu es fatigué.;sois;es;sois;subjunctive 
Il faut que je vienne ce soir.;Il faut que je viens ce soir.;vienne;viens;vienne;subjunctive 
Il faut que je parte ce soir.;Il faut que je pars ce soir.;parte;pars;parte;subjunctive 
Il faut que je finisse ce soir.;Il faut que je finis ce soir.;finisse;finis;finisse;subjunctive 
Il faut que je prenne ce soir.;Il faut que je prends ce soir.;prenne;prends;prenne;subjunctive 
Il faut que je sois ce soir.;Il faut que je suis ce soir.;sois;suis;sois;subjunctive 
Il faut que je aie ce soir.;Il faut que je ai ce soir.;aie;ai;aie;subjunctive 
Il faut que je fasse ce soir.;Il faut que je fais ce soir.;fasse;fais;fasse;subjunctive 
Il faut que je aille ce soir.;Il faut que je vais ce soir.;aille;vais;aille;subjunctive 
Il faut que je sache ce soir.;Il faut que je sais ce soir.;sache;sais;sache;subjunctive 
Il faut que je veuille ce soir.;Il faut que je veux ce soir.;veuille;veux;veuille;subjunctive 
Il faut que je dise ce soir.;Il faut que je dis ce soir.;dise;dis;dise;subjunctive 
Il faut que je voie ce soir.;Il faut que je vois ce soir.;voie;vois;voie;subjunctive 
Il faut que tu viennes ce soir.;Il faut que tu viens ce soir.;viennes;viens;viennes;subjunctive 
Il faut que tu partes ce soir.;Il faut que tu pars ce soir.;partes;pars;partes;subjunctive 
Il faut que tu finisses ce soir.;Il faut que tu finis ce soir.;finisses;finis;finisses;subjunctive 
Il faut que tu prennes ce soir.;Il faut que tu prends ce soir.;prennes;prends;prennes;subjunctive 
Il faut que tu sois ce soir.;Il faut que tu es ce soir.;sois;es;sois;subjunctive 
Il faut que tu aies ce soir.;Il faut que tu as ce soir.;aies;as;aies;subjunctive 
Il faut que tu fasses ce soir.;Il faut que tu fais ce soir.;fasses;fais;fasses;subjunctive 
Il faut que tu ailles ce soir.;Il faut que tu vas ce soir.;ailles;vas;ailles;subjunctive 
Il faut que tu saches ce soir.;Il faut que tu sais ce soir.;saches;sais;saches;subjunctive 
Il faut que tu veuilles ce soir.;Il faut que tu veux ce soir.;veuilles;veux;veuilles;subjunctive 
Il faut que tu dises ce soir.;Il faut que tu dis ce soir.;dises;dis;dises;subjunctive 
Il faut que tu voies ce soir.;Il faut que tu vois ce soir.;voies;vois;voies;subjunctive 
Il faut que il vienne ce soir.;Il faut que il vient ce soir.;vienne;vient;vienne;subjunctive 
Il faut que il parte ce soir.;Il faut que il part ce soir.;parte;part;parte;subjunctive 
Il faut que il finisse ce soir.;Il faut que il finit ce soir.;finisse;finit;finisse;subjunctive 
Il faut que il prenne ce soir.;Il faut que il prend ce soir.;prenne;prend;prenne;subjunctive 
Il faut que il soit ce soir.;Il faut que il est ce soir.;soit;est;soit;subjunctive 
Il faut que il ait ce soir.;Il faut que il a ce soir.;ait;a;ait;subjunctive 
Il faut que il fasse ce soir.;Il faut que il fait ce soir.;fasse;fait;fasse;subjunctive 
Il faut que il aille ce soir.;Il faut que il va ce soir.;aille;va;aille;subjunctive 
Il faut que il sache ce soir.;Il faut que il sait ce soir.;sache;sait;sache;subjunctive 
Il faut que il veuille ce soir.;Il faut que il veut ce soir.;veuille;veut;veuille;subjunctive 
Il faut que il dise ce soir.;Il faut que il dit ce soir.;dise;dit;dise;subjunctive 
Il faut que il voie ce soir.;Il faut que il voit ce soir.;voie;voit;voie;subjunctive 
Il faut que elle vienne ce soir.;Il faut que elle vient ce soir.;vienne;vient;vienne;subjunctive 
Il faut que elle parte ce soir.;Il faut que elle part ce soir.;parte;part;parte;subjunctive 
