good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
beaucoup de filles s'insultent;beaucoup de filles l'insultent;s';l';insultent;anaphor_agreement
ils s'aiment;ils aiment eux-mêmes; s';eux-mêmes;aiment;anaphor_agreement
Jean pense que Marie l’admire;Jean pense que Marie s’admire;l';s';admire;anaphor_agreement
Claire croit que Marc l’a blessée;Claire croit que Marc s’est blessé;l';s';blessée;anaphor_agreement
Thomas affirme que Julie l’a soutenu;Thomas affirme que Julie s'est soutenue;l';s';soutenue;anaphor_agreement
Lucie pense que Paul l’a complimentée;Lucie pense que Paul s'est complimenté;l';s';complimentée;anaphor_agreement
Marie croit que Luc l’a comprise;Marie croit que Luc s'est comprise;l';s';comprise;anaphor_agreement
Julie dit que Maxime l’a encouragée;Julie dit que Maxime s'est encouragée;l';s';encouragée;anaphor_agreement
Antoine pense que Chloé l’aime;Antoine pense que Chloé s'aime;l';s';aime;anaphor_agreement
Élodie a dit que Martin l’avait soutenue;Élodie a dit que Martin s'était soutenu;l';s';soutenue;anaphor_agreement
Je me regarde chaque matin.;Je vous regarde chaque matin.;me;vous;me;anaphor_agreement
Tu te regardes chaque matin.;Tu vous regardes chaque matin.;te;vous;te;anaphor_agreement
Il se regarde chaque matin.;Il vous regarde chaque matin.;se;vous;se;anaphor_agreement
Elle se regarde chaque matin.;Elle vous regarde chaque matin.;se;vous;se;anaphor_agreement
Nous nous regardons chaque matin.;Nous vous regardons chaque matin.;nous;vous;nous;anaphor_agreement
Vous vous regardez chaque matin.;Vous te regardez chaque matin.;vous;te;vous;anaphor_agreement
Ils se regardent chaque matin.;Ils vous regardent chaque matin.;se;vous;se;anaphor_agreement
Elles se regardent chaque matin.;Elles vous regardent chaque matin.;se;vous;se;anaphor_agreement
Souvent, Je me regarde avant le petit-déjeuner.;Souvent, Je vous regarde avant le petit-déjeuner.;me;vous;me;anaphor_agreement
Souvent, Tu te regardes avant le petit-déjeuner.;Souvent, Tu vous regardes avant le petit-déjeuner.;te;vous;te;anaphor_agreement
Souvent, Il se regarde avant le petit-déjeuner.;Souvent, Il vous regarde avant le petit-déjeuner.;se;vous;se;anaphor_agreement
Souvent, Elle se regarde avant le petit-déjeuner.;Souvent, Elle vous regarde avant le petit-déjeuner.;se;vous;se;anaphor_agreement
Souvent, Nous nous regardons avant le petit-déjeuner.;Souvent, Nous vous regardons avant le petit-déjeuner.;nous;vous;nous;anaphor_agreement
Souvent, Vous vous regardez avant le petit-déjeuner.;Souvent, Vous te regardez avant le petit-déjeuner.;vous;te;vous;anaphor_agreement
Souvent, Ils se regardent avant le petit-déjeuner.;Souvent, Ils vous regardent avant le petit-déjeuner.;se;vous;se;anaphor_agreement
Souvent, Elles se regardent avant le petit-déjeuner.;Souvent, Elles vous regardent avant le petit-déjeuner.;se;vous;se;anaphor_agreement
Aujourd'hui, Je me regarde.;Aujourd'hui, Je vous regarde.;me;vous;me;anaphor_agreement
Aujourd'hui, Tu te regardes.;Aujourd'hui, Tu vous regardes.;te;vous;te;anaphor_agreement
Aujourd'hui, Il se regarde.;Aujourd'hui, Il vous regarde.;se;vous;se;anaphor_agreement
Aujourd'hui, Elle se regarde.;Aujourd'hui, Elle vous regarde.;se;vous;se;anaphor_agreement
Aujourd'hui, Nous nous regardons.;Aujourd'hui, Nous vous regardons.;nous;vous;nous;anaphor_agreement
Aujourd'hui, Vous vous regardez.;Aujourd'hui, Vous te regardez.;vous;te;vous;anaphor_agreement
Aujourd'hui, Ils se regardent.;Aujourd'hui, Ils vous regardent.;se;vous;se;anaphor_agreement
Aujourd'hui, Elles se regardent.;Aujourd'hui, Elles vous regardent.;se;vous;se;anaphor_agreement
Je me regarde sans réfléchir.;Je vous regarde sans réfléchir.;me;vous;me;anaphor_agreement
Tu te regardes sans réfléchir.;Tu vous regardes sans réfléchir.;te;vous;te;anaphor_agreement
Il se regarde sans réfléchir.;Il vous regarde sans réfléchir.;se;vous;se;anaphor_agreement
Elle se regarde sans réfléchir.;Elle vous regarde sans réfléchir.;se;vous;se;anaphor_agreement
Nous nous regardons sans réfléchir.;Nous vous regardons sans réfléchir.;nous;vous;nous;anaphor_agreement
Vous vous regardez sans réfléchir.;Vous te regardez sans réfléchir.;vous;te;vous;anaphor_agreement
Ils se regardent sans réfléchir.;Ils vous regardent sans réfléchir.;se;vous;se;anaphor_agreement
Elles se regardent sans réfléchir.;Elles vous regardent sans réfléchir.;se;vous;se;anaphor_agreement
En général, Je me regarde tranquillement.;En général, Je vous regarde tranquillement.;me;vous;me;anaphor_agreement
En général, Tu te regardes tranquillement.;En général, Tu vous regardes tranquillement.;te;vous;te;anaphor_agreement
En général, Il se regarde tranquillement.;En général, Il vous regarde tranquillement.;se;vous;se;anaphor_agreement
En général, Elle se regarde tranquillement.;En général, Elle vous regarde tranquillement.;se;vous;se;anaphor_agreement
En général, Nous nous regardons tranquillement.;En général, Nous vous regardons tranquillement.;nous;vous;nous;anaphor_agreement
En général, Vous vous regardez tranquillement.;En général, Vous te regardez tranquillement.;vous;te;vous;anaphor_agreement
En général, Ils se regardent tranquillement.;En général, Ils vous regardent tranquillement.;se;vous;se;anaphor_agreement
En général, Elles se regardent tranquillement.;En général, Elles vous regardent tranquillement.;se;vous;se;anaphor_agreement
Je me regarde en silence.;Je vous regarde en silence.;me;vous;me;anaphor_agreement
Tu te regardes en silence.;Tu vous regardes en silence.;te;vous;te;anaphor_agreement
Il se regarde en silence.;Il vous regarde en silence.;se;vous;se;anaphor_agreement
Elle se regarde en silence.;Elle vous regarde en silence.;se;vous;se;anaphor_agreement
Nous nous regardons en silence.;Nous vous regardons en silence.;nous;vous;nous;anaphor_agreement
