good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
La robe est dans le placard;Les robe est dans le placard;la;les;robe;determiners
Les chiens est très mignons;Le chiens est très mignons;les;le;determiners
La voiture est rouge;Le voiture est rouge;la;le;voiture;determiners
Les enfants jouent dans le jardin;L’enfant jouent dans le jardin;les;l’;enfant;determiners
Un homme parle à la foule;Une homme parle à la foule;un;une;homme;determiners
Une fille chante bien;Un fille chante bien;une;un;fille;determiners
Le chat est noir;La chat est noir;le;la;chat;determiners
Les pommes sont vertes;La pommes sont vertes;les;la;pommes;determiners
Cette robe est chère;Ce robe est chère;cette;ce;robe;determiners
Ces enfants sont contents;Cet enfants sont contents;ces;cet;enfants;determiners
Cette chat est chère;La chat est chère;le;la;chat;determiners
La amis est dans le placard;Le amis est dans le placard;les;le;amis;determiners
Les fille sont vertes;Le fille sont vertes;la;le;fille;determiners
La oiseau est dans le placard;La oiseau est dans le placard;le;la;oiseau;determiners
Les chat jouent dans le jardin;La chat jouent dans le jardin;le;la;chat;determiners
Ces pomme sont contents;La pomme sont contents;les;la;pomme;determiners
Ces professeur sont contents;La professeur sont contents;le;la;professeur;determiners
Le hôtel est noir;L' hôtel est noir;l';l';hôtel;determiners
Un chambre parle à la foule;Le chambre parle à la foule;la;le;chambre;determiners
Le robe est noir;Le robe est noir;la;le;robe;determiners
Les enfant jouent dans le jardin;L' enfant jouent dans le jardin;l';l';enfant;determiners
Ces fille sont contents;Le fille sont contents;la;le;fille;determiners
Une choses chante bien;La choses chante bien;les;la;choses;determiners
Ces voitures sont contents;La voitures sont contents;les;la;voitures;determiners
Les chat sont vertes;La chat sont vertes;le;la;chat;determiners
Les chambre sont très mignons;Le chambre sont très mignons;la;le;chambre;determiners
La robe est dans le placard;Le robe est dans le placard;la;le;robe;determiners
Les professeur sont très mignons;La professeur sont très mignons;le;la;professeur;determiners
Les arbres sont très mignons;Le arbres sont très mignons;les;le;arbres;determiners
Une voitures chante bien;La voitures chante bien;les;la;voitures;determiners
Les fleurs sont vertes;La fleurs sont vertes;les;la;fleurs;determiners
Un chien parle à la foule;La chien parle à la foule;le;la;chien;determiners
Les garçon jouent dans le jardin;La garçon jouent dans le jardin;le;la;garçon;determiners
La fille est rouge;Le fille est rouge;la;le;fille;determiners
La professeur est rouge;La professeur est rouge;le;la;professeur;determiners
La fille est dans le placard;Le fille est dans le placard;la;le;fille;determiners
La oiseau est rouge;La oiseau est rouge;le;la;oiseau;determiners
Une fille chante bien;Le fille chante bien;la;le;fille;determiners
Cette garçon est chère;La garçon est chère;le;la;garçon;determiners
Une oiseau chante bien;La oiseau chante bien;le;la;oiseau;determiners
Cette garçon est chère;La garçon est chère;le;la;garçon;determiners
Cette voiture est chère;Le voiture est chère;la;le;voiture;determiners
Un voiture parle à la foule;Le voiture parle à la foule;la;le;voiture;determiners
Un voiture parle à la foule;Le voiture parle à la foule;la;le;voiture;determiners
Les homme jouent dans le jardin;L' homme jouent dans le jardin;l';l';homme;determiners
Le école est noir;L' école est noir;l';l';école;determiners
Le amis est noir;Le amis est noir;les;le;amis;determiners
Un fleurs parle à la foule;La fleurs parle à la foule;les;la;fleurs;determiners
Les robe sont très mignons;Le robe sont très mignons;la;le;robe;determiners
Le choses est noir;La choses est noir;les;la;choses;determiners
Le homme est noir;L' homme est noir;l';l';homme;determiners
Les école sont très mignons;L' école sont très mignons;l';l';école;determiners
La amis est dans le placard;Le amis est dans le placard;les;le;amis;determiners
Le professeur est noir;La professeur est noir;le;la;professeur;determiners
Le fille est noir;Le fille est noir;la;le;fille;determiners
Ces fleurs sont contents;La fleurs sont contents;les;la;fleurs;determiners
Une amis chante bien;Le amis chante bien;les;le;amis;determiners
Cette robe est chère;Le robe est chère;la;le;robe;determiners
Les chien jouent dans le jardin;La chien jouent dans le jardin;le;la;chien;determiners
Une arbres chante bien;Le arbres chante bien;les;le;arbres;determiners
Les garçon sont très mignons;La garçon sont très mignons;le;la;garçon;determiners
Les professeur sont vertes;La professeur sont vertes;le;la;professeur;determiners
Les fille jouent dans le jardin;Le fille jouent dans le jardin;la;le;fille;determiners
Un fille parle à la foule;Le fille parle à la foule;la;le;fille;determiners
La robe est rouge;Le robe est rouge;la;le;robe;determiners
Une chambre chante bien;Le chambre chante bien;la;le;chambre;determiners
La garçon est dans le placard;La garçon est dans le placard;le;la;garçon;determiners
Un chat parle à la foule;La chat parle à la foule;le;la;chat;determiners
La chambre est dans le placard;Le chambre est dans le placard;la;le;chambre;determiners
Une enfant chante bien;L' enfant chante bien;l';l';enfant;determiners
Une arbres chante bien;Le arbres chante bien;les;le;arbres;determiners
Une oiseau chante bien;La oiseau chante bien;le;la;oiseau;determiners
Les garçon jouent dans le jardin;La garçon jouent dans le jardin;le;la;garçon;determiners
Une arbres chante bien;Le arbres chante bien;les;le;arbres;determiners
Un choses parle à la foule;La choses parle à la foule;les;la;choses;determiners
Une pomme chante bien;La pomme chante bien;les;la;pomme;determiners
Les chat sont très mignons;La chat sont très mignons;le;la;chat;determiners
Les garçon sont très mignons;La garçon sont très mignons;le;la;garçon;determiners
Un chien parle à la foule;La chien parle à la foule;le;la;chien;determiners
Les école sont vertes;L' école sont vertes;l';l';école;determiners
Une chien chante bien;La chien chante bien;le;la;chien;determiners
La voitures est dans le placard;La voitures est dans le placard;les;la;voitures;determiners
Une chambre chante bien;Le chambre chante bien;la;le;chambre;determiners
La arbres est dans le placard;Le arbres est dans le placard;les;le;arbres;determiners
Cette chambre est chère;Le chambre est chère;la;le;chambre;determiners
Cette voiture est chère;Le voiture est chère;la;le;voiture;determiners
Les pomme sont très mignons;La pomme sont très mignons;les;la;pomme;determiners
Les chat sont très mignons;La chat sont très mignons;le;la;chat;determiners
Le chien est noir;La chien est noir;le;la;chien;determiners
Cette garçon est chère;La garçon est chère;le;la;garçon;determiners
Ces enfant sont contents;L' enfant sont contents;l';l';enfant;determiners
La chien est dans le placard;La chien est dans le placard;le;la;chien;determiners
La chat est dans le placard;La chat est dans le placard;le;la;chat;determiners
Le fille est noir;Le fille est noir;la;le;fille;determiners
Une robe chante bien;Le robe chante bien;la;le;robe;determiners
