good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Les anciens oiseaux sont sur la table.;Les anciennes oiseaux sont sur la table.;anciens;anciennes;anciens;adj_noun
Le beau livre est sur la table.;Le belle livre est sur la table.;beau;belle;beau;adj_noun
Les anciens jardins sont sur la table.;Les anciennes jardins sont sur la table.;anciens;anciennes;anciens;adj_noun
Les heureux jardins sont sur la table.;Les heureuses jardins sont sur la table.;heureux;heureuses;heureux;adj_noun
La nouvelle lettre est sur la table.;La nouveau lettre est sur la table.;nouvelle;nouveau;nouvelle;adj_noun
Le vert jardin est sur la table.;Le verte jardin est sur la table.;vert;verte;vert;adj_noun
Les grandes fleurs sont sur la table.;Les grands fleurs sont sur la table.;grandes;grands;grandes;adj_noun
Les jolies fleurs sont sur la table.;Les jolis fleurs sont sur la table.;jolies;jolis;jolies;adj_noun
Les anciens chiens sont sur la table.;Les anciennes chiens sont sur la table.;anciens;anciennes;anciens;adj_noun
Les nouvelles lettres sont sur la table.;Les nouveaux lettres sont sur la table.;nouvelles;nouveaux;nouvelles;adj_noun
Le beau jardin est sur la table.;Le belle jardin est sur la table.;beau;belle;beau;adj_noun
Les vertes tables sont sur la table.;Les verts tables sont sur la table.;vertes;verts;vertes;adj_noun
Les vertes voitures sont sur la table.;Les verts voitures sont sur la table.;vertes;verts;vertes;adj_noun
La grande table est sur la table.;La grand table est sur la table.;grande;grand;grande;adj_noun
Les bleues maisons sont sur la table.;Les bleus maisons sont sur la table.;bleues;bleus;bleues;adj_noun
La petite voiture est sur la table.;La petit voiture est sur la table.;petite;petit;petite;adj_noun
Les petits oiseaux sont sur la table.;Les petites oiseaux sont sur la table.;petits;petites;petits;adj_noun
Les petites lettres sont sur la table.;Les petits lettres sont sur la table.;petites;petits;petites;adj_noun
Les belles voitures sont sur la table.;Les beaux voitures sont sur la table.;belles;beaux;belles;adj_noun
Les heureuses fleurs sont sur la table.;Les heureux fleurs sont sur la table.;heureuses;heureux;heureuses;adj_noun
Le heureux oiseau est sur la table.;Le heureuse oiseau est sur la table.;heureux;heureuse;heureux;adj_noun
Les bleus chats sont sur la table.;Les bleues chats sont sur la table.;bleus;bleues;bleus;adj_noun
Les jolis jardins sont sur la table.;Les jolies jardins sont sur la table.;jolis;jolies;jolis;adj_noun
La ancienne voiture est sur la table.;La ancien voiture est sur la table.;ancienne;ancien;ancienne;adj_noun
La ancienne fleur est sur la table.;La ancien fleur est sur la table.;ancienne;ancien;ancienne;adj_noun
La grande maison est sur la table.;La grand maison est sur la table.;grande;grand;grande;adj_noun
Les petits chats sont sur la table.;Les petites chats sont sur la table.;petits;petites;petits;adj_noun
La belle fleur est sur la table.;La beau fleur est sur la table.;belle;beau;belle;adj_noun
Le petit jardin est sur la table.;Le petite jardin est sur la table.;petit;petite;petit;adj_noun
Les nouvelles voitures sont sur la table.;Les nouveaux voitures sont sur la table.;nouvelles;nouveaux;nouvelles;adj_noun
Le petit chien est sur la table.;Le petite chien est sur la table.;petit;petite;petit;adj_noun
Le joli jardin est sur la table.;Le jolie jardin est sur la table.;joli;jolie;joli;adj_noun
Les belles fleurs sont sur la table.;Les beaux fleurs sont sur la table.;belles;beaux;belles;adj_noun
Les grands chiens sont sur la table.;Les grandes chiens sont sur la table.;grands;grandes;grands;adj_noun
La petite table est sur la table.;La petit table est sur la table.;petite;petit;petite;adj_noun
Les heureuses tables sont sur la table.;Les heureux tables sont sur la table.;heureuses;heureux;heureuses;adj_noun
Le nouveau chat est sur la table.;Le nouvelle chat est sur la table.;nouveau;nouvelle;nouveau;adj_noun
La ancienne maison est sur la table.;La ancien maison est sur la table.;ancienne;ancien;ancienne;adj_noun
Les petits livres sont sur la table.;Les petites livres sont sur la table.;petits;petites;petits;adj_noun
Le petit oiseau est sur la table.;Le petite oiseau est sur la table.;petit;petite;petit;adj_noun
La jolie maison est sur la table.;La joli maison est sur la table.;jolie;joli;jolie;adj_noun
La verte table est sur la table.;La vert table est sur la table.;verte;vert;verte;adj_noun
Le heureux jardin est sur la table.;Le heureuse jardin est sur la table.;heureux;heureuse;heureux;adj_noun
