good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Les anciens oiseaux sont sur la table.;Les anciennes oiseaux sont sur la table.;anciens;anciennes;anciens;adjective_noun_agreement
Le beau livre est sur la table.;Le belle livre est sur la table.;beau;belle;beau;adjective_noun_agreement
Les anciens jardins sont sur la table.;Les anciennes jardins sont sur la table.;anciens;anciennes;anciens;adjective_noun_agreement
Les heureux jardins sont sur la table.;Les heureuses jardins sont sur la table.;heureux;heureuses;heureux;adjective_noun_agreement
La nouvelle lettre est sur la table.;La nouveau lettre est sur la table.;nouvelle;nouveau;nouvelle;adjective_noun_agreement
Le vert jardin est sur la table.;Le verte jardin est sur la table.;vert;verte;vert;adjective_noun_agreement
Les grandes fleurs sont sur la table.;Les grands fleurs sont sur la table.;grandes;grands;grandes;adjective_noun_agreement
Les jolies fleurs sont sur la table.;Les jolis fleurs sont sur la table.;jolies;jolis;jolies;adjective_noun_agreement
Les anciens chiens sont sur la table.;Les anciennes chiens sont sur la table.;anciens;anciennes;anciens;adjective_noun_agreement
Nous avons acheté ce bureau très grand.;Nous avons acheté ce bureau très grandes.;grand;grandes;grand;adjective_noun_agreement
Nous avons acheté ces vélos très petits.;Nous avons acheté ces vélos très petite.;petits;petite;petits;adjective_noun_agreement
Elle aime cette lampe qui est heureuse.;Elle aime cette lampe qui est heureux.;heureuse;heureux;heureuse;adjective_noun_agreement
ces chaussures semble heureuses.;ces chaussures semble heureux.;heureuses;heureux;heureuses;adjective_noun_agreement
Tu dois nettoyer ces chaussures nouvelles.;Tu dois nettoyer ces chaussures nouvelle.;nouvelles;nouvelle;nouvelles;adjective_noun_agreement
ce bureau est nouveau.;ce bureau est nouvelles.;nouveau;nouvelles;nouveau;adjective_noun_agreement
Hier j'ai vu ces robes si petites.;Hier j'ai vu ces robes si petits.;petites;petits;petites;adjective_noun_agreement
Nous avons acheté ces fenêtres très vieilles.;Nous avons acheté ces fenêtres très vieux.;vieilles;vieux;vieilles;adjective_noun_agreement
ces ordinateurs semble bleus.;ces ordinateurs semble bleues.;bleus;bleues;bleus;adjective_noun_agreement
Voici ces ordinateurs vraiment bleus.;Voici ces ordinateurs vraiment bleues.;bleus;bleues;bleus;adjective_noun_agreement
Nous avons acheté cette télévision très intelligente.;Nous avons acheté cette télévision très intelligent.;intelligente;intelligent;intelligente;adjective_noun_agreement
ces chaussures semble belles.;ces chaussures semble beaux.;belles;beaux;belles;adjective_noun_agreement
Voici ces robes vraiment petites.;Voici ces robes vraiment petit.;petites;petit;petites;adjective_noun_agreement
ces livres semble vieux.;ces livres semble vieille.;vieux;vieille;vieux;adjective_noun_agreement
As-tu remarqué cette télévision si heureuse?;As-tu remarqué cette télévision si heureuses?;heureuse;heureuses;heureuse;adjective_noun_agreement
Hier, j'ai vu cette voiture si nouvelle.;Hier, j'ai vu cette voiture si nouvelles.;nouvelle;nouvelles;nouvelle;adjective_noun_agreement
Ils ont trouvé ce mur très petit.;Ils ont trouvé ce mur très petits.;petit;petits;petit;adjective_noun_agreement
Elle aime ce mur qui est bleu.;Elle aime ce mur qui est bleues.;bleu;bleues;bleu;adjective_noun_agreement
Ils ont trouvé ce canapé très grand.;Ils ont trouvé ce canapé très grandes.;grand;grandes;grand;adjective_noun_agreement
Ils ont trouvé ces stylos très beaux.;Ils ont trouvé ces stylos très belles.;beaux;belles;beaux;adjective_noun_agreement
ces vélos est frais.;ces vélos est fraîche.;frais;fraîche;frais;adjective_noun_agreement
Tu dois nettoyer ce bureau beau.;Tu dois nettoyer ce bureau belle.;beau;belle;beau;adjective_noun_agreement
Hier, j'ai vu ces vélos si intelligents.;Hier, j'ai vu ces vélos si intelligente.;intelligents;intelligente;intelligents;adjective_noun_agreement
Je vois ces fenêtres très nouvelles aujourd'hui.;Je vois ces fenêtres très nouvelle aujourd'hui.;nouvelles;nouvelle;nouvelles;adjective_noun_agreement
ces vélos semble nouveaux.;ces vélos semble nouvelles.;nouveaux;nouvelles;nouveaux;adjective_noun_agreement
ces maisons est grandes.;ces maisons est grand.;grandes;grand;grandes;adjective_noun_agreement
Ils ont trouvé ce chat très heureux.;Ils ont trouvé ce chat très heureuse.;heureux;heureuse;heureux;adjective_noun_agreement
Hier, j'ai vu cette voiture si grande.;Hier, j'ai vu cette voiture si grand.;grande;grand;grande;adjective_noun_agreement
As-tu remarqué ce chien si petit?;As-tu remarqué ce chien si petits?;petit;petits;petit;adjective_noun_agreement
Voici cette lampe vraiment rouge.;Voici cette lampe vraiment rouges.;rouge;rouges;rouge;adjective_noun_agreement
ces chaussures semble heureuses.;ces chaussures semble heureux.;heureuses;heureux;heureuses;adjective_noun_agreement
Je vois cette porte très bleue aujourd'hui.;Je vois cette porte très bleu aujourd'hui.;bleue;bleu;bleue;adjective_noun_agreement
Je vois ce canapé très vieux aujourd'hui.;Je vois ce canapé très vieilles aujourd'hui.;vieux;vieilles;vieux;adjective_noun_agreement
As-tu remarqué ces ordinateurs si vieux?;As-tu remarqué ces ordinateurs si vieilles?;vieux;vieilles;vieux;adjective_noun_agreement
Tu dois nettoyer ces ordinateurs grands.;Tu dois nettoyer ces ordinateurs grande.;grands;grande;grands;adjective_noun_agreement
Nous avons acheté ce mur très vieux.;Nous avons acheté ce mur très vieille.;vieux;vieille;vieux;adjective_noun_agreement
Voici ces rideaux vraiment intelligents.;Voici ces rideaux vraiment intelligente.;intelligents;intelligente;intelligents;adjective_noun_agreement
Tu dois nettoyer cette porte belle.;Tu dois nettoyer cette porte beaux.;belle;beaux;belle;adjective_noun_agreement
Tu dois nettoyer ces stylos heureux.;Tu dois nettoyer ces stylos heureuses.;heureux;heureuses;heureux;adjective_noun_agreement
Voici ces maisons vraiment belles.;Voici ces maisons vraiment beaux.;belles;beaux;belles;adjective_noun_agreement
Ils ont trouvé ces livres très nouveaux.;Ils ont trouvé ces livres très nouvelle.;nouveaux;nouvelle;nouveaux;adjective_noun_agreement
ces rideaux semble nouveaux.;ces rideaux semble nouveau.;nouveaux;nouveau;nouveaux;adjective_noun_agreement
Voici ces tables vraiment grandes.;Voici ces tables vraiment grands.;grandes;grands;grandes;adjective_noun_agreement
ce chat semble bleu.;ce chat semble bleus.;bleu;bleus;bleu;adjective_noun_agreement
Hier, j'ai vu cette lampe si grande.;Hier, j'ai vu cette lampe si grandes.;grande;grandes;grande;adjective_noun_agreement
Tu dois nettoyer cette porte belle.;Tu dois nettoyer cette porte belles.;belle;belles;belle;adjective_noun_agreement
ces vélos semble nouveaux.;ces vélos semble nouveau.;nouveaux;nouveau;nouveaux;adjective_noun_agreement
As-tu remarqué ce chien si grand?;As-tu remarqué ce chien si grande?;grand;grande;grand;adjective_noun_agreement
Voici ce chien vraiment beau.;Voici ce chien vraiment belles.;beau;belles;beau;adjective_noun_agreement
Nous avons acheté cette porte très vieille.;Nous avons acheté cette porte très vieilles.;vieille;vieilles;vieille;adjective_noun_agreement
Tu dois nettoyer ce canapé grand.;Tu dois nettoyer ce canapé grande.;grand;grande;grand;adjective_noun_agreement
As-tu remarqué ces tables si grandes?;As-tu remarqué ces tables si grande?;grandes;grande;grandes;adjective_noun_agreement
cette chaise semble grande.;cette chaise semble grandes.;grande;grandes;grande;adjective_noun_agreement
Elle aime ces tables qui est intelligentes.;Elle aime ces tables qui est intelligents.;intelligentes;intelligents;intelligentes;adjective_noun_agreement
Elle aime ces rideaux qui est beaux.;Elle aime ces rideaux qui est beau.;beaux;beau;beaux;adjective_noun_agreement
Nous avons acheté ce chien très grand.;Nous avons acheté ce chien très grande.;grand;grande;grand;adjective_noun_agreement
