good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Nous prenons en été.,Nous prend en été.,Nous,Nous,prenons,subject_verb_agreement
Elle vient chez moi.,Elle venez chez moi.,Elle,Elle,vient,subject_verb_agreement
Ils finissent à l'école.,Ils finissons à l'école.,Ils,Ils,finissent,subject_verb_agreement
Je vois tous les jours.,Je voyons tous les jours.,Je,Je,vois,subject_verb_agreement
Je prends en été.,Je prennent en été.,Je,Je,prends,subject_verb_agreement
Elle voit pendant le week-end.,Elle voient pendant le week-end.,Elle,Elle,voit,subject_verb_agreement
Vous voyez en été.,Vous voient en été.,Vous,Vous,voyez,subject_verb_agreement
Ils finissent avec ses amis.,Ils finit avec ses amis.,Ils,Ils,finissent,subject_verb_agreement
Nous voyons au marché.,Nous voit au marché.,Nous,Nous,voyons,subject_verb_agreement
On vient avec ses amis.,On viens avec ses amis.,On,On,vient,subject_verb_agreement
Nous prenons en silence.,Nous prend en silence.,Nous,Nous,prenons,subject_verb_agreement
On vient tous les jours.,On viennent tous les jours.,On,On,vient,subject_verb_agreement
Tu vois en silence.,Tu voyons en silence.,Tu,Tu,vois,subject_verb_agreement
On prend tous les jours.,On prennent tous les jours.,On,On,prend,subject_verb_agreement
Le garçon vient chez moi.,Le garçon viennent chez moi.,Le garçon,Le garçon,vient,subject_verb_agreement
Je parle tous les jours.,Je parlent tous les jours.,Je,Je,parle,subject_verb_agreement
Je finis chez moi.,Je finit chez moi.,Je,Je,finis,subject_verb_agreement
Tu vois pendant le week-end.,Tu voit pendant le week-end.,Tu,Tu,vois,subject_verb_agreement
Il voit en silence.,Il voient en silence.,Il,Il,voit,subject_verb_agreement
Nous voyons en été.,Nous voit en été.,Nous,Nous,voyons,subject_verb_agreement
Le garçon prend avec ses amis.,Le garçon prends avec ses amis.,Le garçon,Le garçon,prend,subject_verb_agreement
Elle vient avec ses amis.,Elle viens avec ses amis.,Elle,Elle,vient,subject_verb_agreement
Nous prenons en été.,Nous prends en été.,Nous,Nous,prenons,subject_verb_agreement
Tu finis en été.,Tu finissez en été.,Tu,Tu,finis,subject_verb_agreement
Vous prenez le matin.,Vous prends le matin.,Vous,Vous,prenez,subject_verb_agreement
Je vois rapidement.,Je voit rapidement.,Je,Je,vois,subject_verb_agreement
Vous prenez tous les jours.,Vous prend tous les jours.,Vous,Vous,prenez,subject_verb_agreement
Les filles viennent au marché.,Les filles viens au marché.,Les filles,Les filles,viennent,subject_verb_agreement
Elle finit rapidement.,Elle finis rapidement.,Elle,Elle,finit,subject_verb_agreement
Tu vois le matin.,Tu voit le matin.,Tu,Tu,vois,subject_verb_agreement
Nous parlons rapidement.,Nous parle rapidement.,Nous,Nous,parlons,subject_verb_agreement
On prend rapidement.,On prenez rapidement.,On,On,prend,subject_verb_agreement
Je parle tous les jours.,Je parles tous les jours.,Je,Je,parle,subject_verb_agreement
Le garçon parle le matin.,Le garçon parlons le matin.,Le garçon,Le garçon,parle,subject_verb_agreement
Nous finissons au marché.,Nous finis au marché.,Nous,Nous,finissons,subject_verb_agreement
Les filles voient rapidement.,Les filles voyons rapidement.,Les filles,Les filles,voient,subject_verb_agreement
Elle prend en silence.,Elle prenez en silence.,Elle,Elle,prend,subject_verb_agreement
Les garçons voient en été.,Les garçons voit en été.,Les garçons,Les garçons,voient,subject_verb_agreement
Le garçon parle rapidement.,Le garçon parlons rapidement.,Le garçon,Le garçon,parle,subject_verb_agreement
On finit en été.,On finis en été.,On,On,finit,subject_verb_agreement
Je parle pendant le week-end.,Je parlent pendant le week-end.,Je,Je,parle,subject_verb_agreement
Ils voient en silence.,Ils voit en silence.,Ils,Ils,voient,subject_verb_agreement
Les filles parlent tous les jours.,Les filles parlons tous les jours.,Les filles,Les filles,parlent,subject_verb_agreement
Elles finissent le matin.,Elles finit le matin.,Elles,Elles,finissent,subject_verb_agreement
Je vois chez moi.,Je voient chez moi.,Je,Je,vois,subject_verb_agreement
Le garçon vient en été.,Le garçon venons en été.,Le garçon,Le garçon,vient,subject_verb_agreement
Il voit pendant le week-end.,Il vois pendant le week-end.,Il,Il,voit,subject_verb_agreement
Nous voyons rapidement.,Nous vois rapidement.,Nous,Nous,voyons,subject_verb_agreement
Le garçon vient avec ses amis.,Le garçon viennent avec ses amis.,Le garçon,Le garçon,vient,subject_verb_agreement
La fille prend rapidement.,La fille prennent rapidement.,La fille,La fille,prend,subject_verb_agreement
On parle rapidement.,On parlent rapidement.,On,On,parle,subject_verb_agreement
Tu parles pendant le week-end.,Tu parlons pendant le week-end.,Tu,Tu,parles,subject_verb_agreement
Vous voyez tous les jours.,Vous voit tous les jours.,Vous,Vous,voyez,subject_verb_agreement
Tu viens tous les jours.,Tu vient tous les jours.,Tu,Tu,viens,subject_verb_agreement
Les garçons finissent le matin.,Les garçons finis le matin.,Les garçons,Les garçons,finissent,subject_verb_agreement
Le garçon voit en été.,Le garçon voient en été.,Le garçon,Le garçon,voit,subject_verb_agreement
Il voit en été.,Il voyons en été.,Il,Il,voit,subject_verb_agreement
Nous voyons au marché.,Nous voit au marché.,Nous,Nous,voyons,subject_verb_agreement
On prend au marché.,On prenez au marché.,On,On,prend,subject_verb_agreement
Il finit le matin.,Il finissons le matin.,Il,Il,finit,subject_verb_agreement
Les garçons parlent tous les jours.,Les garçons parle tous les jours.,Les garçons,Les garçons,parlent,subject_verb_agreement
Il vient au marché.,Il viennent au marché.,Il,Il,vient,subject_verb_agreement
Nous parlons en silence.,Nous parles en silence.,Nous,Nous,parlons,subject_verb_agreement
Tu prends chez moi.,Tu prennent chez moi.,Tu,Tu,prends,subject_verb_agreement
Elle prend en été.,Elle prenons en été.,Elle,Elle,prend,subject_verb_agreement
Les filles prennent rapidement.,Les filles prenez rapidement.,Les filles,Les filles,prennent,subject_verb_agreement
Je prends en silence.,Je prennent en silence.,Je,Je,prends,subject_verb_agreement
Nous voyons au marché.,Nous vois au marché.,Nous,Nous,voyons,subject_verb_agreement
Elles finissent rapidement.,Elles finissez rapidement.,Elles,Elles,finissent,subject_verb_agreement
Vous prenez au marché.,Vous prennent au marché.,Vous,Vous,prenez,subject_verb_agreement
Les filles prennent tous les jours.,Les filles prends tous les jours.,Les filles,Les filles,prennent,subject_verb_agreement
Nous prenons à l'école.,Nous prend à l'école.,Nous,Nous,prenons,subject_verb_agreement
Vous finissez avec ses amis.,Vous finit avec ses amis.,Vous,Vous,finissez,subject_verb_agreement
Tu viens au marché.,Tu venez au marché.,Tu,Tu,viens,subject_verb_agreement
Vous voyez pendant le week-end.,Vous voit pendant le week-end.,Vous,Vous,voyez,subject_verb_agreement
La fille vient à l'école.,La fille viennent à l'école.,La fille,La fille,vient,subject_verb_agreement
Nous parlons au marché.,Nous parlent au marché.,Nous,Nous,parlons,subject_verb_agreement
Elles finissent pendant le week-end.,Elles finit pendant le week-end.,Elles,Elles,finissent,subject_verb_agreement
On prend rapidement.,On prends rapidement.,On,On,prend,subject_verb_agreement
On parle en silence.,On parles en silence.,On,On,parle,subject_verb_agreement
Le garçon vient rapidement.,Le garçon venez rapidement.,Le garçon,Le garçon,vient,subject_verb_agreement
Il vient à l'école.,Il venez à l'école.,Il,Il,vient,subject_verb_agreement
Elles voient tous les jours.,Elles voit tous les jours.,Elles,Elles,voient,subject_verb_agreement
Elle voit rapidement.,Elle vois rapidement.,Elle,Elle,voit,subject_verb_agreement
Tu prends en silence.,Tu prennent en silence.,Tu,Tu,prends,subject_verb_agreement
La fille parle à l'école.,La fille parlons à l'école.,La fille,La fille,parle,subject_verb_agreement
Vous voyez au marché.,Vous voyons au marché.,Vous,Vous,voyez,subject_verb_agreement
Vous parlez avec ses amis.,Vous parle avec ses amis.,Vous,Vous,parlez,subject_verb_agreement
Tu vois en silence.,Tu voyez en silence.,Tu,Tu,vois,subject_verb_agreement
On parle le matin.,On parlent le matin.,On,On,parle,subject_verb_agreement
Tu prends rapidement.,Tu prennent rapidement.,Tu,Tu,prends,subject_verb_agreement
Tu prends au marché.,Tu prend au marché.,Tu,Tu,prends,subject_verb_agreement
Vous parlez rapidement.,Vous parle rapidement.,Vous,Vous,parlez,subject_verb_agreement
Elle finit à l'école.,Elle finissez à l'école.,Elle,Elle,finit,subject_verb_agreement
Tu vois pendant le week-end.,Tu voient pendant le week-end.,Tu,Tu,vois,subject_verb_agreement
Je prends en silence.,Je prennent en silence.,Je,Je,prends,subject_verb_agreement
Nous venons en silence.,Nous viennent en silence.,Nous,Nous,venons,subject_verb_agreement
Elle vient en silence.,Elle viens en silence.,Elle,Elle,vient,subject_verb_agreement
Vous venez avec ses amis.,Vous vient avec ses amis.,Vous,Vous,venez,subject_verb_agreement
Ils finissent tous les jours.,Ils finis tous les jours.,Ils,Ils,finissent,subject_verb_agreement
Le garçon voit au marché.,Le garçon vois au marché.,Le garçon,Le garçon,voit,subject_verb_agreement
Tu parles rapidement.,Tu parle rapidement.,Tu,Tu,parles,subject_verb_agreement
Les filles prennent pendant le week-end.,Les filles prends pendant le week-end.,Les filles,Les filles,prennent,subject_verb_agreement
Les filles finissent chez moi.,Les filles finit chez moi.,Les filles,Les filles,finissent,subject_verb_agreement
Nous prenons au marché.,Nous prend au marché.,Nous,Nous,prenons,subject_verb_agreement
Je prends à l'école.,Je prenons à l'école.,Je,Je,prends,subject_verb_agreement
Tu finis à l'école.,Tu finissez à l'école.,Tu,Tu,finis,subject_verb_agreement
Les garçons viennent au marché.,Les garçons vient au marché.,Les garçons,Les garçons,viennent,subject_verb_agreement
Le garçon voit à l'école.,Le garçon vois à l'école.,Le garçon,Le garçon,voit,subject_verb_agreement
Tu viens chez moi.,Tu viennent chez moi.,Tu,Tu,viens,subject_verb_agreement
Ils finissent pendant le week-end.,Ils finissons pendant le week-end.,Ils,Ils,finissent,subject_verb_agreement
Tu prends en silence.,Tu prenons en silence.,Tu,Tu,prends,subject_verb_agreement
On parle au marché.,On parlons au marché.,On,On,parle,subject_verb_agreement
Je viens le matin.,Je viennent le matin.,Je,Je,viens,subject_verb_agreement
Les garçons viennent au marché.,Les garçons vient au marché.,Les garçons,Les garçons,viennent,subject_verb_agreement
Le garçon vient avec ses amis.,Le garçon viens avec ses amis.,Le garçon,Le garçon,vient,subject_verb_agreement
Le garçon vient rapidement.,Le garçon venez rapidement.,Le garçon,Le garçon,vient,subject_verb_agreement
Nous finissons tous les jours.,Nous finis tous les jours.,Nous,Nous,finissons,subject_verb_agreement
Je finis pendant le week-end.,Je finit pendant le week-end.,Je,Je,finis,subject_verb_agreement
On parle en été.,On parlons en été.,On,On,parle,subject_verb_agreement
La fille prend pendant le week-end.,La fille prends pendant le week-end.,La fille,La fille,prend,subject_verb_agreement
On vient le matin.,On viennent le matin.,On,On,vient,subject_verb_agreement
Le garçon voit à l'école.,Le garçon voyons à l'école.,Le garçon,Le garçon,voit,subject_verb_agreement
Le garçon parle pendant le week-end.,Le garçon parlons pendant le week-end.,Le garçon,Le garçon,parle,subject_verb_agreement
Les filles viennent au marché.,Les filles viens au marché.,Les filles,Les filles,viennent,subject_verb_agreement
Nous finissons chez moi.,Nous finit chez moi.,Nous,Nous,finissons,subject_verb_agreement
Ils finissent rapidement.,Ils finissons rapidement.,Ils,Ils,finissent,subject_verb_agreement
La fille parle chez moi.,La fille parlez chez moi.,La fille,La fille,parle,subject_verb_agreement
Je parle avec ses amis.,Je parlez avec ses amis.,Je,Je,parle,subject_verb_agreement
Nous prenons chez moi.,Nous prend chez moi.,Nous,Nous,prenons,subject_verb_agreement
Nous prenons avec ses amis.,Nous prends avec ses amis.,Nous,Nous,prenons,subject_verb_agreement
Ils voient le matin.,Ils vois le matin.,Ils,Ils,voient,subject_verb_agreement
Elle vient au marché.,Elle viennent au marché.,Elle,Elle,vient,subject_verb_agreement
Tu parles en été.,Tu parlent en été.,Tu,Tu,parles,subject_verb_agreement
Vous venez le matin.,Vous viens le matin.,Vous,Vous,venez,subject_verb_agreement
La fille vient en été.,La fille viennent en été.,La fille,La fille,vient,subject_verb_agreement
Je viens tous les jours.,Je vient tous les jours.,Je,Je,viens,subject_verb_agreement
Nous prenons tous les jours.,Nous prend tous les jours.,Nous,Nous,prenons,subject_verb_agreement
