good_sentence;bad_sentence;good_cue;bad_cue;critical_region;phenomenon
Elle est partie.;Elle est parti.;partie;parti;partie;auxiliary_agreement
Ils sont arrivés.;Ils sont arrivé.;arrivés;arrivé;arrivés;auxiliary_agreement
Nous sommes venus.;Nous sommes venue.;venus;venue;venus;auxiliary_agreement
Tu es resté.;Tu es restée.;resté;restée;resté;auxiliary_agreement
Elles sont nées.;Elles sont nés.;nées;nés;nées;auxiliary_agreement
Je suis allé.;Je suis allée.;allé;allée;allé;auxiliary_agreement
Vous êtes entrés.;Vous êtes entrée.;entrés;entrée;entrés;auxiliary_agreement
Il est monté.;Il est montée.;monté;montée;monté;auxiliary_agreement
Elles sont descendues.;Elles sont descendu.;descendues;descendu;descendues;auxiliary_agreement
Nous sommes partis.;Nous sommes parties.;partis;parties;partis;auxiliary_agreement
Aujourd'hui, Nous sommes descendus.;Aujourd'hui, Nous sommes descendues.;descendus;descendues;descendus;auxiliary_agreement
Aujourd'hui, Nous sommes nés.;Aujourd'hui, Nous sommes nées.;nés;nées;nés;auxiliary_agreement
Aujourd'hui, Nous sommes restés.;Aujourd'hui, Nous sommes restées.;restés;restées;restés;auxiliary_agreement
Aujourd'hui, Nous sommes entrés.;Aujourd'hui, Nous sommes entrées.;entrés;entrées;entrés;auxiliary_agreement
Aujourd'hui, Nous sommes tombés.;Aujourd'hui, Nous sommes tombées.;tombés;tombées;tombés;auxiliary_agreement
Aujourd'hui, Nous sommes allées.;Aujourd'hui, Nous sommes allé.;allées;allé;allées;auxiliary_agreement
Aujourd'hui, Nous sommes parties.;Aujourd'hui, Nous sommes parti.;parties;parti;parties;auxiliary_agreement
Aujourd'hui, Nous sommes venues.;Aujourd'hui, Nous sommes venu.;venues;venu;venues;auxiliary_agreement
Aujourd'hui, Nous sommes arrivées.;Aujourd'hui, Nous sommes arrivé.;arrivées;arrivé;arrivées;auxiliary_agreement
Aujourd'hui, Nous sommes montées.;Aujourd'hui, Nous sommes monté.;montées;monté;montées;auxiliary_agreement
Aujourd'hui, Nous sommes descendues.;Aujourd'hui, Nous sommes descendu.;descendues;descendu;descendues;auxiliary_agreement
Aujourd'hui, Nous sommes nées.;Aujourd'hui, Nous sommes né.;nées;né;nées;auxiliary_agreement
Aujourd'hui, Nous sommes restées.;Aujourd'hui, Nous sommes resté.;restées;resté;restées;auxiliary_agreement
Aujourd'hui, Nous sommes entrées.;Aujourd'hui, Nous sommes entré.;entrées;entré;entrées;auxiliary_agreement
Aujourd'hui, Nous sommes tombées.;Aujourd'hui, Nous sommes tombé.;tombées;tombé;tombées;auxiliary_agreement
Aujourd'hui, Vous êtes allés.;Aujourd'hui, Vous êtes allées.;allés;allées;allés;auxiliary_agreement
Aujourd'hui, Vous êtes partis.;Aujourd'hui, Vous êtes parties.;partis;parties;partis;auxiliary_agreement
Aujourd'hui, Vous êtes venus.;Aujourd'hui, Vous êtes venues.;venus;venues;venus;auxiliary_agreement
Aujourd'hui, Vous êtes arrivés.;Aujourd'hui, Vous êtes arrivées.;arrivés;arrivées;arrivés;auxiliary_agreement
Aujourd'hui, Vous êtes montés.;Aujourd'hui, Vous êtes montées.;montés;montées;montés;auxiliary_agreement
Aujourd'hui, Vous êtes descendus.;Aujourd'hui, Vous êtes descendues.;descendus;descendues;descendus;auxiliary_agreement
Aujourd'hui, Vous êtes nés.;Aujourd'hui, Vous êtes nées.;nés;nées;nés;auxiliary_agreement
Aujourd'hui, Vous êtes restés.;Aujourd'hui, Vous êtes restées.;restés;restées;restés;auxiliary_agreement
Aujourd'hui, Vous êtes entrés.;Aujourd'hui, Vous êtes entrées.;entrés;entrées;entrés;auxiliary_agreement
Aujourd'hui, Vous êtes tombés.;Aujourd'hui, Vous êtes tombées.;tombés;tombées;tombés;auxiliary_agreement
Aujourd'hui, Vous êtes allées.;Aujourd'hui, Vous êtes allé.;allées;allé;allées;auxiliary_agreement
Aujourd'hui, Vous êtes parties.;Aujourd'hui, Vous êtes parti.;parties;parti;parties;auxiliary_agreement
Aujourd'hui, Vous êtes venues.;Aujourd'hui, Vous êtes venu.;venues;venu;venues;auxiliary_agreement
Aujourd'hui, Vous êtes arrivées.;Aujourd'hui, Vous êtes arrivé.;arrivées;arrivé;arrivées;auxiliary_agreement
Aujourd'hui, Vous êtes montées.;Aujourd'hui, Vous êtes monté.;montées;monté;montées;auxiliary_agreement
Aujourd'hui, Vous êtes descendues.;Aujourd'hui, Vous êtes descendu.;descendues;descendu;descendues;auxiliary_agreement
Aujourd'hui, Vous êtes nées.;Aujourd'hui, Vous êtes né.;nées;né;nées;auxiliary_agreement
Aujourd'hui, Vous êtes restées.;Aujourd'hui, Vous êtes resté.;restées;resté;restées;auxiliary_agreement
Aujourd'hui, Vous êtes entrées.;Aujourd'hui, Vous êtes entré.;entrées;entré;entrées;auxiliary_agreement
Aujourd'hui, Vous êtes tombées.;Aujourd'hui, Vous êtes tombé.;tombées;tombé;tombées;auxiliary_agreement
Aujourd'hui, Ils sont allés.;Aujourd'hui, Ils sont allées.;allés;allées;allés;auxiliary_agreement
Aujourd'hui, Ils sont partis.;Aujourd'hui, Ils sont parties.;partis;parties;partis;auxiliary_agreement
Aujourd'hui, Ils sont venus.;Aujourd'hui, Ils sont venues.;venus;venues;venus;auxiliary_agreement
Aujourd'hui, Ils sont arrivés.;Aujourd'hui, Ils sont arrivées.;arrivés;arrivées;arrivés;auxiliary_agreement
Aujourd'hui, Ils sont montés.;Aujourd'hui, Ils sont montées.;montés;montées;montés;auxiliary_agreement
Aujourd'hui, Ils sont descendus.;Aujourd'hui, Ils sont descendues.;descendus;descendues;descendus;auxiliary_agreement
Aujourd'hui, Ils sont nés.;Aujourd'hui, Ils sont nées.;nés;nées;nés;auxiliary_agreement
Aujourd'hui, Ils sont restés.;Aujourd'hui, Ils sont restées.;restés;restées;restés;auxiliary_agreement
Aujourd'hui, Ils sont entrés.;Aujourd'hui, Ils sont entrées.;entrés;entrées;entrés;auxiliary_agreement
Aujourd'hui, Ils sont tombés.;Aujourd'hui, Ils sont tombées.;tombés;tombées;tombés;auxiliary_agreement
Aujourd'hui, Elles sont allées.;Aujourd'hui, Elles sont allé.;allées;allé;allées;auxiliary_agreement
Aujourd'hui, Elles sont parties.;Aujourd'hui, Elles sont parti.;parties;parti;parties;auxiliary_agreement
Aujourd'hui, Elles sont venues.;Aujourd'hui, Elles sont venu.;venues;venu;venues;auxiliary_agreement
Aujourd'hui, Elles sont arrivées.;Aujourd'hui, Elles sont arrivé.;arrivées;arrivé;arrivées;auxiliary_agreement
Aujourd'hui, Elles sont montées.;Aujourd'hui, Elles sont monté.;montées;monté;montées;auxiliary_agreement
Aujourd'hui, Elles sont descendues.;Aujourd'hui, Elles sont descendu.;descendues;descendu;descendues;auxiliary_agreement
Aujourd'hui, Elles sont nées.;Aujourd'hui, Elles sont né.;nées;né;nées;auxiliary_agreement
